station_code,station_name,station_type,hint,lat,lon,source,reviewed,note
17,문화동,rain,창원 마산합포구 문화동 행정복지센터,35.1846492,128.5582373,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 문화동 행정복지센터 대표점 근사; Kakao place 7872950; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산합포구 문화남5길 36 문화동 행정복지센터; 기존 지도 좌표와 6.1m 차이
19,구산면,rain,창원 마산합포구 구산면 행정복지센터,35.1196989,128.5808870,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 구산면 행정복지센터 대표점 근사; Kakao place 8209317; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산합포구 구산면 구산로 554 구산면 행정복지센터; 기존 지도 좌표와 4.6m 차이
20,진동면,rain,창원 마산합포구 진동면 행정복지센터,35.1158406,128.4843082,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 진동면 행정복지센터 대표점 근사; Kakao place 27294450; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산합포구 진동면 신서촌로 11 진동면 행정복지센터; 기존 지도 좌표와 8.1m 차이
21,진북면,rain,창원 마산합포구 진북면 행정복지센터,35.1154740,128.4674119,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 진북면 행정복지센터 대표점 근사; Kakao place 8531709; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산합포구 진북면 지산5길 80 진북면 행정복지센터; 기존 지도 좌표와 3.5m 차이
23,진해물재생센터,rain,창원 진해물재생센터,35.1446256,128.6901629,네이버 Maps Geocoding,Y,네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 진해구 천자로 101; 네이버 주소 대표점 사용; 카카오 시설 대표점과 266.5m 차이나 동일 대형 처리시설 부지; 실제 우량계 위치 미공개
25,동부도서관,rain,창원 진해 동부도서관,35.1000082,128.8171583,네이버 Maps Geocoding,Y,시설명·용재로 66 주소 일치; Kakao place 23824257; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 진해구 용재로 66 동부도서관; 기존 지도 좌표와 11.3m 차이
26,진전면,rain,창원 마산합포구 진전면 행정복지센터,35.1028900,128.4189869,네이버 Maps Geocoding,Y,"실제 우량계 위치 미공개; 진전면 행정복지센터 대표점 근사; Kakao place 8086275; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산합포구 진전면 대실로 155 진전면 행정복지센터,진전면보건지소; 기존 지도 좌표와 3.1m 차이"
27,내서읍,rain,창원 마산회원구 내서읍 행정복지센터,35.2468100,128.5076249,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 내서읍 행정복지센터 대표점 근사; Kakao place 8229394; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산회원구 내서읍 중리상곡로 65 내서읍사무소; 기존 지도 좌표와 4.9m 차이
28,진해구청,rain,창원 진해구청,35.1341825,128.7106529,네이버 Maps Geocoding,Y,시설명·진해대로 1101 일치; Naver place 11627810; 지도 대표점 차이 42m로 동일 청사 범위; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 진해구 진해대로 1101 진해종합사회복지관; 기존 지도 좌표와 93.7m 차이
29,소계민원,rain,창원 소계민원센터,35.2572936,128.5999846,네이버 Maps Geocoding,Y,소계민원센터·소계로84번길 7 일치; Kakao place 19373374; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 소계로84번길 7 소계민원센터; 기존 지도 좌표와 2.7m 차이
30,충무동,rain,창원 진해구 충무동 행정복지센터,35.1505077,128.6603422,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 충무동 행정복지센터 대표점 근사; Kakao place 8095088; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 진해구 중원로74번길 6 충무동행정복지센터; 기존 지도 좌표와 1.5m 차이
31,삼귀민원,rain,창원 삼귀민원센터,35.1661325,128.6154146,네이버 Maps Geocoding,Y,삼귀민원센터·귀산로58번길 8 일치; Kakao place 8212843; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 성산구 귀산로58번길 8 삼귀민원센터; 기존 지도 좌표와 3.5m 차이
32,봉림동,rain,창원 의창구 봉림동 행정복지센터,35.2519212,128.6675867,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 봉림동 행정복지센터 대표점 근사; Kakao place 7900445; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 대봉로26번길 5 봉림동 행정복지센터; 기존 지도 좌표와 1.4m 차이
33,의안민원,rain,창원 의안민원센터,35.2651913,128.6205649,네이버 Maps Geocoding,Y,의안민원센터·읍성로 25 일치; Kakao place 8048003; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 읍성로 25 의안동주민센터; 기존 지도 좌표와 7.7m 차이
34,팔용농산물,rain,창원 팔용농산물도매시장,35.2300009,128.6379130,네이버 Maps Geocoding,Y,농산물도매시장·차상로18번길 45 일치; Naver place 39370290; 지도 대표점 차이 77m로 동일 시장 부지; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 차상로18번길 45 농산물도매시장; 기존 지도 좌표와 77.2m 차이
35,동읍,rain,창원 의창구 동읍 행정복지센터,35.2847249,128.6825131,네이버 Maps Geocoding,Y,실제 우량계 위치 미공개; 동읍 행정복지센터 대표점 근사; Kakao place 8978720; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 동읍 동읍로 88 동읍행정복지센터; 기존 지도 좌표와 11.3m 차이
36,마산소방서,rain,창원 마산소방서,35.1981516,128.5748484,네이버 Maps Geocoding,Y,마산소방서·제2부두로 55 일치; Kakao place 17096012; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산합포구 제2부두로 55; 기존 지도 좌표와 17.6m 차이
37,덕동동,rain,창원 마산합포구 덕동동,35.1413000,128.5817000,네이버 Maps Geocoding,N,"실제 우량계 설치시설 미확인; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 마산합포구 덕동동; 덕동동 행정구역 대표점 근사이며 실제 관측지점이 아니므로 reviewed=N 유지; 덕동물재생센터 후보는 근거 부족으로 미채택; 강수 상관 검증(2026-09-07, 비 온 날 528일): 삼귀민원 r=0.97·구산면 0.97·진북면 0.95 — 구 좌표(덕동물재생센터)와 신 좌표(동 대표점) 모두 구산면에서 2km 안팎이라 데이터로 구분 불가, 1.5km 차이는 IDW 허용 범위 → 동 대표점 유지"
38,화천민원,rain,창원 화천민원센터,35.2996827,128.6026809,네이버 Maps Geocoding,Y,화천민원센터·북면 천주로 483-7 일치; Kakao place 11207420; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 북면 천주로 483-7 화천민원센터; 기존 지도 좌표와 9.9m 차이
8,차룡8교,water_level,창원 차룡8교,35.2379955,128.6325590,네이버 Maps Geocoding,Y,교량명·팔용동 525-2 일치; 수위계는 교량 대표점 근사; Kakao place 10761348; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 의창구 차룡단지로 196; 기존 지도 좌표와 40.7m 차이
50,연덕교,water_level,창원 연덕교,35.215237,128.662745,카카오맵·네이버 Maps Geocoding 교차검증,Y,교량명·성산구 내동 457 일치; 수위계는 교량 대표점 근사; Kakao place 8001075; 네이버 Maps Geocoding 주소 검증(2026-09-05): 경상남도 창원시 성산구 내동 457; 네이버 지번 대표점은 교량 POI에서 348.8m 떨어져 실제 교량 위치인 기존 좌표 유지
