시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
비산빗물펌프장,경기도,안양시,안양시 안양시 동안구 경수대로868번길 16,경기도 안양시 동안구 비산동1116번지,37.396132,126.9405601,,2000,침수예방,2026-05-31,3830000,경기도 안양시
충훈2교빗물배수펌프시설,경기도,안양시,,경기도 안양시 만안구 석수동 666-37,37.405140,126.8956970891,,2025,침수예방,2026-05-31,3830000,경기도 안양시
충훈고앞빗물배수펌프시설,경기도,안양시,,경기도 안양시 만안구 석수동 594-1,37.4090059072,126.8929829431,,2025,침수예방,2026-05-31,3830000,경기도 안양시
공릉1빗물펌프장,서울특별시,노원구,,서울특별시 노원구 공릉동 687-8,37.61692018,127.0741241,02-2116-4198,2002,수해방지,2026-04-10,3100000,서울특별시 노원구
신백배수펌프장,충청북도,제천시,충청북도 제천시 단양로 3374,,37.125152,128.225946,,2005,침수방지,2026-03-23,4400000,충청북도 제천시
동대배수펌프장,충청남도,보령시,충청남도 보령시 천변남길 291,충청남도 보령시 동대동 748-3,36.351467,126.602675,041-931-1422,1997,재난 상황 시 빗물 등 배수(排水),2026-04-15,4510000,충청남도 보령시
대천배수펌프장,충청남도,보령시,충청남도 보령시 대천방조제로 6,충청남도 보령시 대천동 288-205,36.345679,126.590231,041-931-1422,1989,재난 상황 시 빗물 등 배수(排水),2026-04-15,4510000,충청남도 보령시
궁촌배수펌프장,충청남도,보령시,충청남도 보령시 대해로 109,충청남도 보령시 궁촌동 133-4,36.340527,126.588929,041-931-1422,2006,재난 상황 시 빗물 등 배수(排水),2026-04-15,4510000,충청남도 보령시
공릉2빗물펌프장,서울특별시,노원구,,서울특별시 노원구 공릉동 406-1,37.62432325,127.0705705,02-2116-4196,2016,수해방지,2026-04-10,3100000,서울특별시 노원구
북고2배수장,충청남도,부여군,충청남도 부여군 장암면 의자로 1082,충청남도 부여군 장암면 정암리 96,36.24840604,126.9150059,,2002,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
북고1배수장,충청남도,부여군,충청남도 부여군 장암면 의자로 870,충청남도 부여군 장암면 북고리 105,36.24519942,126.9353479,,2002,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
홍산배수펌프장,충청남도,부여군,,충청남도 부여군 홍산면 북촌리 181,36.21583308,126.7586993,,2000,도시침수 방지,2026-01-07,4570000,충청남도 부여군
장암석동배수장,충청남도,부여군,충청남도 부여군 장암면 충절로 1937-7,충청남도 부여군 장암면 석동리 719-7,36.2453132,126.8837025,,2006,재해위험지역 침수방지용,2026-01-07,4570000,충청남도 부여군
외리배수장,충청남도,부여군,,충청남도 부여군 규암면 외리 101-1,36.26893488,126.886351,,2012,농경지 배수,2026-01-07,4570000,충청남도 부여군
규암배수장,충청남도,부여군,,충청남도 부여군 규암면 규암리 104-20,36.27364934,126.8880208,,2012,도시 및 취락지 배수,2026-01-07,4570000,충청남도 부여군
왕포배수펌프장,충청남도,부여군,,충청남도 부여군 부여읍 중정리 3-10 외 5필지,36.25699977,126.9393115,,2016,"자연재해방지, 이치수 확대",2026-01-07,4570000,충청남도 부여군
구교배수장,충청남도,부여군,충청남도 부여군 부여읍 백강로 20,충청남도 부여군 부여읍 구교리 306,36.30681586,126.9356105,,1991,도시침수 방지,2026-01-07,4570000,충청남도 부여군
향교지구 펌프장2,전북특별자치도,임실군,,전북특별자치도 임실군 임실읍 이도리 661,35.6127439548,127.2807745558,063-640-2636,2016,재해예방,2025-12-23,4761000,전북특별자치도 임실군
향교지구 펌프장1,전북특별자치도,임실군,전북특별자치도 임실군 임실읍 봉황10길 43,전북특별자치도 임실군 임실읍 이도리 673-3,35.613498,127.2811069,063-640-2636,2016,재해예방,2025-12-23,4761000,전북특별자치도 임실군
반산배수장,충청남도,부여군,,충청남도 부여군 규암면 반산리 219,36.27885089,126.8746697,,1970,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
라복배수장,충청남도,부여군,,충청남도 부여군 규암면 나복리 167-1,36.28175146,126.8670371,,1998,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
금암배수장,충청남도,부여군,충청남도 부여군 규암면 동궁로160번길 46,충청남도 부여군 규암면 금암리 465-6,36.3228229,126.9118679,,2001,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
함양배수장,충청남도,부여군,충청남도 부여군 규암면 함양로 49,충청남도 부여군 규암면 함양리 286-10,36.29984724,126.8710614,,2009,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
신성배수장,충청남도,부여군,,충청남도 청양군 장평면 분향리 979,36.3233625,126.8926981,,2009,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
서원배수장,충청남도,부여군,,충청남도 부여군 부여읍 저석리 76-3,36.33412683,126.9761556,,1979,재해대비 원활한 배수,2026-01-07,4570000,충청남도 부여군
오산 신장 2 배수장,광주광역시,남구,,전라남도 나주시 남평읍 평산리 839,35.0573244721,126.8206523305,,,침수방지,2026-02-09,5815000,전남광주통합특별시 남구
오산 신장 1 배수장,광주광역시,남구,,전라남도 나주시 남평읍 평산리 922,35.0550908182,126.8195142278,,,침수방지,2026-02-09,5815000,전남광주통합특별시 남구
화장 배수펌프장,광주광역시,남구,,광주광역시 남구 화장동 1006-7,35.0717624681,126.7850952177,,,침수방지,2026-02-09,5815000,전남광주통합특별시 남구
양촌 배수펌프장,광주광역시,남구,,전라남도 나주시 금천면 신가리 1215-12,35.0594677717,126.7677241387,,,침수방지,2026-02-09,5815000,전남광주통합특별시 남구
한자,전라남도,해남군,,전라남도 해남군 황산면 한자리 23-36,34.53607284,126.4512131,061-530-5486,2020,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
후산,전라남도,해남군,,전라남도 해남군 화원면 후산리 953-78,34.71599696,126.2808314,061-530-5486,2017,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
화봉,전라남도,해남군,,전라남도 해남군 화원면 화봉리 513-10,34.66205574,126.2603409,061-530-5486,2017,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
산소,전라남도,해남군,전라남도 해남군 황산면 산소길 86-24,전라남도 해남군 황산면 한자리 774,34.54561918,126.4340247,061-530-5486,2023,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
매월,전라남도,해남군,전라남도 해남군 화원면 조선소길 637,전라남도 해남군 화원면 구림리 570,34.7474728,126.3077261,061-530-5486,2017,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
선두,전라남도,해남군,,전라남도 해남군 문내면 선두리 371-27,34.58787284,126.3129331,061-530-5469,2019,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
신월 2,전라남도,해남군,,전라남도 해남군 북일면 방산리 873-6,34.43488779,126.6887337,061-530-5486,2007,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
신월 1,전라남도,해남군,전라남도 해남군 북일면 갈두길 181-53,전라남도 해남군 북일면 금당리 12-11,34.43405483,126.6875243,061-530-5486,2007,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
관동,전라남도,해남군,전라남도 해남군 화산면 좌일길 206,전라남도 해남군 화산면 석호리 1253-1,34.46170563,126.4708114,061-530-5486,2021,침수방지,2026-02-25,5870000,전남광주통합특별시 해남군
금호 빗물펌프장,대구광역시,북구,,대구광역시 북구 검단동 1921,35.9175892,128.6111577,,,재난방지시설,2026-02-11,6270000,대구광역시
매호 빗물펌프장,대구광역시,수성구,대구광역시 수성구 고산로 332,,35.859358,128.713402,,,재난방지시설,2026-02-11,6270000,대구광역시
율하 빗물펌프장,대구광역시,동구,대구광역시 동구 금호강변로 278,,35.85992537,128.6928379,,,재난방지시설,2026-02-11,6270000,대구광역시
팔현 빗물펌프장,대구광역시,수성구,대구광역시 수성구 팔현길 88-86,,35.87124742,128.671602,,,재난방지시설,2026-02-11,6270000,대구광역시
신암 빗물펌프장,대구광역시,동구,대구광역시 동구 아양로41길 26,,35.8888365,128.6371314,,,재난방지시설,2026-02-11,6270000,대구광역시
방촌2 빗물펌프장,대구광역시,동구,대구광역시 동구 화랑로 454,,35.87528636,128.6736932,,,재난방지시설,2026-02-11,6270000,대구광역시
방촌1 빗물펌프장,대구광역시,동구,대구광역시 동구 호반길 33,,35.88120214,128.6582968,,,재난방지시설,2026-02-11,6270000,대구광역시
가천 빗물펌프장,대구광역시,수성구,대구광역시 수성구 천을로23길 260,,35.85530953,128.6933035,,,재난방지시설,2026-02-11,6270000,대구광역시
산격 빗물펌프장,대구광역시,북구,대구광역시 북구 연암로 209,,35.90320138,128.5960755,,,재난방지시설,2026-02-11,6270000,대구광역시
침산 빗물펌프장,대구광역시,북구,대구광역시 북구 노원로 57길 31,,35.90272724,128.5891298,,,재난방지시설,2026-02-11,6270000,대구광역시
봉무 빗물펌프장,대구광역시,동구,대구광역시 동구 위남로 93,,35.9291493,128.6322936,,,재난방지시설,2026-02-11,6270000,대구광역시
동촌 빗물펌프장,대구광역시,동구,대구광역시 동구 팔공로 23길 105,,35.90586112,128.6309327,,,재난방지시설,2026-02-11,6270000,대구광역시
조야 빗물펌프장,대구광역시,북구,대구광역시 북구 조야로2길 7,,35.90786756,128.5782036,,,재난방지시설,2026-02-11,6270000,대구광역시
노곡 빗물펌프장,대구광역시,북구,대구광역시 북구 노곡로 12,,35.90553256,128.5636627,,,재난방지시설,2026-02-11,6270000,대구광역시
서재2 빗물펌프장,대구광역시,달성군,대구광역시 달성군 다사읍 서재본길 92-32,,35.87443471,128.4873632,,,재난방지시설,2026-02-11,6270000,대구광역시
서재1 빗물펌프장,대구광역시,달성군,대구광역시 달성군 다사읍 서재로33길 29,,35.87670619,128.4932608,,,재난방지시설,2026-02-11,6270000,대구광역시
3공단 빗물펌프장,대구광역시,서구,대구광역시 서구 염색공단천로 112,,35.88798492,128.5400615,,,재난방지시설,2026-02-11,6270000,대구광역시
팔달 빗물펌프장,대구광역시,북구,대구광역시 북구 사수로 586-106,,35.89044681,128.5316029,,,재난방지시설,2026-02-11,6270000,대구광역시
창리 빗물펌프장,대구광역시,달성군,대구광역시 달성군 구지면 국가산단서로 189,대구광역시 달성군 구지면 창리 1125-6,35.64477862,128.4028758,,,재난방지시설,2026-02-11,6270000,대구광역시
죽곡 빗물펌프장,대구광역시,달성군,대구광역시 달성군 다사읍 대실역남로 116,,35.84915299,128.4685539,,,재난방지시설,2026-02-11,6270000,대구광역시
성서5차 빗물펌프장,대구광역시,달성군,,대구광역시 달성군 다사읍 세천리 1503,35.86570296,128.4740461,,,재난방지시설,2026-02-11,6270000,대구광역시
비산 빗물펌프장,대구광역시,서구,대구광역시 서구 염색공단로 11길 55-7,,35.88306135,128.5548772,,,재난방지시설,2026-02-11,6270000,대구광역시
이현 빗물펌프장,대구광역시,서구,대구광역시 서구 달서천로2,,35.883904,128.5350342,,,재난방지시설,2026-02-11,6270000,대구광역시
월성 빗물펌프장,대구광역시,달서구,대구광역시 달서구 달서대로 243-13,,35.81752447,128.5023713,,,재난방지시설,2026-02-11,6270000,대구광역시
하동 배수펌프장,경기도,여주시,,경기도 여주시 하동 80-9,37.29909094,127.6258964,,1997,내수배제,2026-02-05,5700000,경기도 여주시
정단 배수펌프장,경기도,여주시,,경기도 여주시 가남읍 정단리 8-1,37.26252732,127.5496573,,2019,내수배제,2026-02-05,5700000,경기도 여주시
다대 배수펌프장,경기도,여주시,,경기도 여주시 흥천면 다대리 627-2,37.335509,127.5361387,,2015,내수배제,2026-02-05,5700000,경기도 여주시
하다 배수펌프장,경기도,여주시,,경기도 여주시 흥천면 하다리 57,37.34618454,127.5404582,,2012,내수배제,2026-02-05,5700000,경기도 여주시
이포 배수펌프장,경기도,여주시,,경기도 여주시 금사면 이포리 401,37.39010571,127.5330563,,2010,내수배제,2026-02-05,5700000,경기도 여주시
귀백 배수펌프장,경기도,여주시,,경기도 여주시 흥천면 귀백리 192,37.37380009,127.5402786,,2012,내수배제,2026-02-05,5700000,경기도 여주시
가정 배수펌프장,경기도,여주시,,경기도 여주시 북내면 지내리 618-1,37.3068289,127.6767961,,2011,내수배제,2026-02-05,5700000,경기도 여주시
사곡 배수펌프장,경기도,여주시,,경기도 여주시 점동면 사곡리 416-2,37.19967523,127.6929646,,2003,내수배제,2026-02-05,5700000,경기도 여주시
와룡배수장,경상북도,예천군,,경상북도 예천군 풍양면 낙상리 1346-15,36.5161462259,128.2713174468,,2009,재난대응,2025-12-17,5230000,경상북도 예천군
마전배수장,경상북도,예천군,,경상북도 예천군 지보면 마전리 1247,36.5251285177,128.3709516966,,2020,재난대응,2025-12-17,5230000,경상북도 예천군
무이배수장,경상북도,예천군,,경상북도 문경시 영순면 달지리 1173,36.578641599,128.2940056539,,2012,재난대응,2025-12-17,5230000,경상북도 예천군
향석 배수장,경상북도,예천군,,경상북도 예천군 용궁면 향석리 353-4,36.5881354036,128.300252607,,1999,재난대응,2025-12-17,5230000,경상북도 예천군
서정자 배수장,경상북도,예천군,,경상북도 예천군 예천읍 상동리 73-1,36.6291456277,128.425686707,,2004,재난대응,2025-12-17,5230000,경상북도 예천군
토평지하펌프장,경기도,구리시,,경기도 구리시 토평동 1004,37.5926199605,127.151527,031-550-2813,2011,재해예방,2025-12-17,3980000,경기도 구리시
아천빗물펌프장,경기도,구리시,경기도 구리시 아차산로 122(아천동),경기도 구리시 아천동 184,37.568924,127.121955,031-550-2820,1990,재해예방,2025-12-17,3980000,경기도 구리시
토평빗물펌프장,경기도,구리시,경기도 구리시 벌말로 3(토평동),경기도 구리시 토평동 480-3,37.577264,127.1447676677,031-550-2817,2001,재해예방,2025-12-17,3980000,경기도 구리시
수택3빗물펌프장,경기도,구리시,경기도 구리시 벌말로 154(토평동),경기도 구리시 토평동 990,37.5902603484,127.1497355219,031-550-2813,2000,재해예방,2025-12-17,3980000,경기도 구리시
수택빗물펌프장,경기도,구리시,경기도 구리시 왕숙천로 265(수택동),경기도 구리시 수택동 357-1,37.5992039524,127.1500834233,031-550-2819,1992,재해예방,2025-12-17,3980000,경기도 구리시
인창빗물펌프장,경기도,구리시,경기도 구리시 왕숙천로 331(인창동),경기도 구리시 인창동 253-1,37.604703,127.147307041,031-550-2818,1989,재해예방,2025-12-17,3980000,경기도 구리시
화포 배수펌프장,경상남도,통영시,경상남도 통영시 용남면 화포2길 188,경상남도 통영시 용남면 화삼리 4-10,34.8615429122,128.4481618345,055-650-5964,2024,침수예방,2025-12-20,5330000,경상남도 통영시
동호만 배수펌프장,경상남도,통영시,경상남도 통영시 장좌로 60,경상남도 통영시 동호동 315,34.8415171922,128.4315421463,055-650-5965,2018,침수예방,2025-12-20,5330000,경상남도 통영시
서호만 배수펌프장,경상남도,통영시,경상남도 통영시 통영해안로 242,경상남도 통영시 서호동 316-4,34.8397583412,128.4214327293,055-650-5962,2015,침수예방,2025-12-20,5330000,경상남도 통영시
북신만 우수배제펌프장,경상남도,통영시,경상남도 통영시 평인일주로 1134,경상남도 통영시 무전동 1014,34.8597344344,128.4195866121,055-650-5963,1998,침수예방,2025-12-20,5330000,경상남도 통영시
들막 배수펌프장,경상남도,거제시,경상남도 거제시 사등면 청포2길 64-39,경상남도 거제시 사등면 청곡리 591,34.9016182,128.5014638,055-639-3844,2022,침수방지,2025-12-23,5370000,경상남도 거제시
고현항 배수펌프장,경상남도,거제시,경상남도 거제시 거제대로 4686,경상남도 거제시 고현동 1103,34.89300592,128.6236847,055-639-3844,2018,침수방지,2025-12-23,5370000,경상남도 거제시
지세포 배수펌프장,경상남도,거제시,,경상남도 거제시 일운면 지세포리 694-11,34.82744282,128.7089301,055-639-3844,2014,침수방지,2025-12-23,5370000,경상남도 거제시
수월 배수펌프장,경상남도,거제시,,경상남도 거제시 고현동 1079,34.89604107,128.6380846,055-639-3844,2016,침수방지,2025-12-23,5370000,경상남도 거제시
서정 배수펌프장,경상남도,거제시,,경상남도 거제시 거제면 서정리 790-19,34.85039938,128.5825956,055-639-3844,2014,침수방지,2025-12-23,5370000,경상남도 거제시
신장동 빗물 배수펌프장,경기도,하남시,,경기도 하남시 신장동 492-9,37.5366751196,127.213573,031-790-5639,1993,저지대 및 침수 우려 지역 침수피해 예방,2025-12-23,4040000,경기도 하남시
덕풍동 빗물배수펌프장,경기도,하남시,,경기도 하남시 덕풍동 511-52,37.5340513418,127.2032987072,031-790-5639,2013,저지대 및 침수 우려 지역 침수피해 예방,2025-12-23,4040000,경기도 하남시
남항배수펌프장,부산광역시,영도구,부산광역시 영도구 남항서로 90,부산광역시 영도구 남항동2가 20-1,35.08854722,129.036277,051-419-4678,2020,호우대응,2025-11-16,3280000,부산광역시 영도구
동남권 맨홀펌프장,부산광역시,기장군,,부산광역시 기장군 장안읍 좌천리 516-57,35.3161361,129.2437716,051-709-4685,2025,취락침수 예방,2025-12-12,3400000,부산광역시 기장군
삼성2지하차도배수펌프장,부산광역시,기장군,부산광역시 기장군 일광읍 일광로 77-19,부산광역시 기장군 일광읍 삼성리 56-2,35.2643553,129.2325523,051-709-4685,2020,차량침수 예방,2025-12-12,3400000,부산광역시 기장군
무곡지하차도배수펌프장,부산광역시,기장군,부산광역시 기장군 기장읍 동뫼길 3,부산광역시 기장군 기장읍 청강리 385-26,35.22702574,129.2144815,051-709-4685,2015,차량침수 예방,2025-12-12,3400000,부산광역시 기장군
길천배수펌프장,부산광역시,기장군,,부산광역시 기장군 장안읍 길천리 190-36,35.32712395,129.2819531,051-709-4685,2005,취락침수 예방,2025-12-12,3400000,부산광역시 기장군
장안간이배수펌프장,부산광역시,기장군,부산광역시 기장군 장안읍 해맞이로 2,부산광역시 기장군 장안읍 좌천리 242-28,35.31184138,129.2452973,051-709-4685,2016,취락침수 예방,2025-12-12,3400000,부산광역시 기장군
장안배수펌프장,부산광역시,기장군,부산광역시 기장군 장안읍 해맞이로 2,부산광역시 기장군 장안읍 좌천리 241-2,35.31184138,129.2452973,051-709-4685,2016,취락침수 예방,2025-12-12,3400000,부산광역시 기장군
향양 배수펌프장,경상남도,진주시,,경상남도 진주시 집현면 덕오리 576-7번지,35.25840599,128.1215784,055-749-8003,2019,침수 재난방지,2026-01-07,5310000,경상남도 진주시
상대배수펌프장,경상남도,진주시,,경상남도 진주시 상평동 271-4번지,35.17780981,128.1009588,055-749-8003,2013,침수 재난방지,2026-01-07,5310000,경상남도 진주시
덕천강배수펌프장,경상남도,진주시,경상남도 진주시 수곡면 곤수로 452-43,경상남도 진주시 수곡면 원내리 865-51,35.160159,127.9622119,055-749-8003,2004,침수 재난방지,2026-01-07,5310000,경상남도 진주시
가방배수펌프장,경상남도,진주시,경상남도 진주시 금산면 덕의길 171-132,경상남도 진주시 금산면 가방리 1214,35.23423997,128.1470991,055-749-8003,2009,침수 재난방지,2026-01-07,5310000,경상남도 진주시
삭평배수펌프장,경상남도,진주시,,경상남도 진주시 명석면 관지리 215-1번지,35.2211594,128.0421226,055-749-8003,2008,침수 재난방지,2026-01-07,5310000,경상남도 진주시
월평배수펌프장,경상남도,진주시,경상남도 진주시 집현면 불너머길 16-8,경상남도 진주시 집현면 장흥리 697-1,35.23334826,128.1028813,055-749-8003,2003,침수 재난방지,2026-01-07,5310000,경상남도 진주시
삼곡배수펌프장,경상남도,진주시,,경상남도 진주시 문산읍 삼곡리 1310-6,35.1644769,128.1577145,055-749-8003,2007,침수 재난방지,2026-01-07,5310000,경상남도 진주시
장대배수펌프장,경상남도,진주시,,경상남도 진주시 옥봉남동 804-4번지,35.19037441,128.0916188,055-749-8003,1972,침수 재난방지,2026-01-07,5310000,경상남도 진주시
상평배수펌프장,경상남도,진주시,,경상남도 진주시 초전동 2번지,35.19505645,128.1271273,055-749-8003,1992,침수 재난방지,2026-01-07,5310000,경상남도 진주시
나불천배수펌프장,경상남도,진주시,,경상남도 진주시 인사동 181-7번지,35.18988353,128.0712819,055-749-8003,2024,침수 재난방지,2026-01-07,5310000,경상남도 진주시
안동2빗물펌프장,경상남도,김해시,,경상남도 김해시 안동 692-1,35.2249429126,128.918407,055-330-4866,2025,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
내덕빗물펌프장,경상남도,김해시,,경상남도 김해시 내덕동 35-2,35.207459,128.825317,055-330-4866,2024,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
등리빗물펌프장,경상남도,김해시,,경상남도 김해시 진영읍 죽곡리 236-8,35.272953,128.763833,055-330-4866,2020,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
대동빗물펌프장,경상남도,김해시,,경상남도 김해시 대동면 월촌리 1331-4,35.265925,129.0026071,055-330-4866,2024,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
능동교빗물펌프장,경상남도,김해시,,경상남도 김해시 부곡동 1167-1,35.20023685,128.8026088,055-330-4866,2022,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
안막빗물펌프장,경상남도,김해시,,부산광역시 강서구 대저1동 670-233,35.23195115,128.9935932,055-330-4866,2021,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
화현빗물펌프장,경상남도,김해시,,경상남도 김해시 상동면 감노리 684,35.33681114,128.9388825,055-330-4866,2002,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
신곡빗물펌프장,경상남도,김해시,,경상남도 김해시 상동면 감노리 231-30,35.3460077,128.9272765,055-330-4866,2002,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
감노빗물펌프장,경상남도,김해시,,경상남도 김해시 상동면 감노리 299-11,35.35081214,128.9215567,055-330-4866,2002,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
한림1구빗물펌프장,경상남도,김해시,,경상남도 김해시 한림면 장방리 228-8,35.31825979,128.8032571,055-330-4866,1997,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
한림토정빗물펌프장,경상남도,김해시,,경상남도 김해시 한림면 장방리 288-1,35.31508591,128.797969,055-330-4866,1998,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
천곡3빗물펌프장,경상남도,김해시,,경상남도 김해시 주촌면 천곡리 917-13,35.23301632,128.8322088,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
천곡2빗물펌프장,경상남도,김해시,,경상남도 김해시 주촌면 천곡리 724-11,35.23482388,128.831412,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
천곡1빗물펌프장,경상남도,김해시,,경상남도 김해시 주촌면 천곡리 56-1,35.23764264,128.8306853,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
사덕빗물펌프장,경상남도,김해시,,경상남도 김해시 주촌면 농소리 644-7,35.21029114,128.8284841,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
농소빗물펌프장,경상남도,김해시,,경상남도 김해시 주촌면 농소리 621-3,35.21623204,128.8309848,055-330-4866,2012,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
진영동산빗물펌프장,경상남도,김해시,,경상남도 김해시 진영읍 방동리 366,35.28494329,128.7129693,055-330-4866,2015,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
주호빗물펌프장,경상남도,김해시,,경상남도 김해시 진영읍 진영리 1755,35.31539069,128.7345685,055-330-4866,2015,주거지 등 침수예방,2026-01-29,5350000,경상남도 김해시
